Breed,Male Min,Male Max,Female Min,Female Max
Nova Scotia Duck Tolling Retriever,35,50,35,50
Old English Sheepdog,60,100,60,100
Otterhound,80,115,80,115
Papillon,5,10,5,10
Parson Russell Terrier,13,17,13,17
Pembroke Welsh Corgi,28,30,28,30
Perro de Presa Canario,84,110,84,110
Petit Basset Griffon Vendéen,25,40,25,40
Pharaoh Hound,45,55,45,55
Plott,40,60,40,60
Pointer,45,75,45,75
Polish Lowland Sheepdog,30,50,30,50
Pomeranian,3,7,3,7
Pont-Audemer Spaniel,38,48,33,40
Poodle (Miniature),10,15,10,15
Poodle (Standard),40,70,40,70
Poodle (Toy),4,6,4,6
Porcelaine,55,62,55,62
Portuguese Podengo Pequeno,9,13,9,13
Portuguese Pointer,35,59,35,59
Portuguese Sheepdog,38,59,37,59
Portuguese Water Dog,35,60,35,60
Pudelpointer,45,70,45,70
Pug,14,18,14,18
Puli,25,35,25,35
Pumi,22,29,22,29
Pyrenean Mastiff,120,190,120,190
Pyrenean Shepherd,15,30,15,30
Rafeiro do Alentejo,77,132,77,132
Rat Terrier,10,25,10,25
Redbone Coonhound,45,70,45,70
Rhodesian Ridgeback,70,85,70,85
Romanian Carpathian Shepherd,70,100,70,100
Romanian Mioritic Shepherd Dog,100,130,100,130
Rottweiler,80,135,80,135
Russell Terrier,9,15,9,15
Russian Tsvetnaya Bolonka,6,9,6,9
Saint Bernard,120,180,120,180
Saluki,40,65,40,65
Samoyed,35,65,35,65
Schapendoes,26,55,26,55
Schipperke,10,16,10,16
Scottish Deerhound,85,110,75,95
Scottish Terrier,18,22,18,22
Sealyham Terrier,23,24,23,24
Segugio Italiano,39,62,39,62
Shetland Sheepdog,15,25,15,25
Shiba Inu,17,23,17,23
Shih Tzu,9,16,9,16
Shikoku,35,55,35,55
Siberian Husky,35,60,35,60
Skye Terrier,35,45,35,45
Sloughi,45,65,45,65
Slovakian Wirehaired Pointer,50,65,50,65
Slovensky Cuvac,68,97,68,97
Slovensky Kopov,33,44,33,44
Small Munsterlander,40,60,40,60
Smooth Fox Terrier,15,18,15,18
Soft Coated Wheaten Terrier,30,40,30,40
Spanish Mastiff,140,200,140,200
Spanish Water Dog,31,49,31,49
Spinone Italiano,31,49,31,49
Stabyhoun,40,60,40,60
Staffordshire Bull Terrier,24,38,24,38
Standard Schnauzer,30,50,30,50
Sussex Spaniel,35,45,35,45
Swedish Lapphund,30,45,30,45
Swedish Vallhund,20,35,20,35
Taiwan Dog,26,40,26,40
Teddy Roosevelt Terrier,8,25,8,25
Thai Bangkaew,40,43,35,40
Thai Ridgeback,35,75,35,75
Tibetan Mastiff,70,150,70,150
Tibetan Spaniel,9,15,9,15
Tibetan Terrier,18,30,18,30
Tornjak,62,110,62,110
Tosa,100,200,100,200
Toy Fox Terrier,4,9,4,9
Treeing Tennessee Brindle,30,50,30,50
Treeing Walker Coonhound,50,70,50,70
Vizsla,44,60,44,60
Volpino Italiano,8,16,8,16
Weimaraner,55,90,55,90
Welsh Springer Spaniel,35,55,35,55
West Highland White Terrier,15,20,15,20
Wetterhoun,50,75,50,75
Whippet,25,40,25,40
Wire Fox Terrier,15,18,15,18
Wirehaired Pointing Griffon,35,70,35,70
Wirehaired Vizsla,45,65,45,65
Working Kelpie,28,60,28,60
Xoloitzcuintli,10,55,10,55
Yakutian Laika,40,55,40,55
Yorkshire Terrier,6,8,6,8
